AreaName,AreaNumber,Time Range,Total,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
Rogers Park,1,1970,26926,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Rogers Park,1,1980,26245,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Rogers Park,1,1990,25317,4294,3369,2732,2806,2394,2079,1758,1254,974,1474,988,841,133,102,119,#N/A
Rogers Park,1,2000,25503,3624,2192,2115,1865,2170,2197,1810,1566,1190,1917,1807,1382,785,331,291,261
Rogers Park,1,2008-2012,23981,3062,1969,1546,1515,1515,1298,1271,1065,964,1692,2334,1925,1295,1285,717,528
Rogers Park,1,2009-2013,24004,3079,1913,1535,1726,1405,1249,1233,1005,1012,1834,2337,2109,1397,1165,615,390
Rogers Park,1,2010-2014,23487,2946,1753,1903,1900,1334,1100,1377,1035,844,1794,2042,2092,1207,1002,640,518
Rogers Park,1,2011-2015,23820,3096,1675,1838,1809,1548,1281,1491,984,867,1856,2079,2128,1327,664,700,477
West Ridge,2,1970,24015,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
West Ridge,2,1980,24962,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
West Ridge,2,1990,25078,3494,1953,2210,2254,2010,2036,1868,1562,1342,2051,1935,1512,450,160,241,#N/A
West Ridge,2,2000,25536,2383,1882,1415,1618,1518,1786,1832,1340,1478,2417,2739,2436,1238,583,420,451
West Ridge,2,2008-2012,24402,1873,1519,1601,1288,1441,1473,1411,1514,1102,2019,2176,2626,1510,1148,1089,612
West Ridge,2,2009-2013,24169,2166,1164,1846,1077,1396,1201,1283,1394,1361,1836,2329,2671,1694,1029,1019,703
West Ridge,2,2010-2014,24245,2052,1101,1831,1253,999,1346,1400,1364,1266,2033,2245,2718,1906,1018,1042,671
West Ridge,2,2011-2015,24406,2303,986,1846,1495,1176,1343,1415,1395,1118,1876,1993,2671,1953,1111,895,830
Uptown,3,1970,33116,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Uptown,3,1980,28259,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Uptown,3,1990,28094,8554,3002,2627,2371,2450,1933,1340,986,774,1393,1170,741,379,162,212,#N/A
Uptown,3,2000,30676,6147,2253,2100,1824,1927,2163,1538,1438,1198,2401,2470,2197,1181,660,622,557
Uptown,3,2008-2012,29441,5197,1997,2042,1304,1160,1222,1052,1062,896,2088,2069,3299,2170,1095,1608,1180
Uptown,3,2009-2013,29203,4934,2285,1835,1378,1152,1224,989,908,896,1988,2161,3384,2230,1122,1494,1223
Uptown,3,2010-2014,29295,4816,2178,1846,1480,1210,1179,1056,1029,883,1913,2162,3387,2215,1069,1426,1446
Uptown,3,2011-2015,29231,4566,1955,1775,1615,1370,1208,846,1155,883,1891,2206,3244,2334,1045,1359,1779
Lincoln Square,4,1970,18992,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Lincoln Square,4,1980,18753,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Lincoln Square,4,1990,18163,2542,1908,2084,2041,1632,1694,1260,1115,743,1229,888,693,176,50,108,#N/A
Lincoln Square,4,2000,18655,1431,1134,1223,1087,1492,1316,1399,1233,1091,1761,1750,1860,825,428,303,322
Lincoln Square,4,2008-2012,17622,1205,590,865,839,791,640,774,936,580,1571,2176,2375,1266,840,1049,1125
Lincoln Square,4,2009-2013,17666,1357,609,857,641,860,612,842,1014,561,1337,1913,2231,1473,903,1107,1349
Lincoln Square,4,2010-2014,17723,1277,636,918,778,726,590,897,831,677,1186,2043,2249,1343,999,1126,1447
Lincoln Square,4,2011-2015,18253,1277,712,826,758,808,633,825,833,788,1271,2022,2231,1518,1061,1132,1558
North Center,5,1970,14519,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
North Center,5,1980,14067,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
North Center,5,1990,13761,2017,1069,1404,1416,1196,1141,1070,942,663,1105,893,525,171,67,82,#N/A
North Center,5,2000,14807,998,586,604,711,873,835,878,795,809,1521,1539,1759,1156,574,594,575
North Center,5,2008-2012,14724,638,306,342,510,425,416,411,450,549,918,1566,1738,1664,1023,1331,2437
North Center,5,2009-2013,14930,604,263,393,330,445,417,383,510,537,1015,1607,1864,1670,1042,1377,2473
North Center,5,2010-2014,14670,563,195,333,437,357,395,393,522,436,869,1472,2021,1719,1032,1336,2590
North Center,5,2011-2015,14543,517,218,333,412,305,476,416,494,448,828,1475,1910,1663,1054,1347,2647
Lake View,6,1970,52441,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Lake View,6,1980,52167,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Lake View,6,1990,53061,6722,3740,4112,5240,4698,4460,3868,3036,2589,3750,4027,2912,1531,735,1641,#N/A
Lake View,6,2000,57007,3793,2409,2032,2393,2767,3503,3492,3345,2699,4806,5968,7349,4384,2254,2563,3250
Lake View,6,2008-2012,52568,4003,1749,1596,1596,1628,1816,1751,2230,2114,3895,4731,6451,5091,3123,4256,6538
Lake View,6,2009-2013,52344,4334,1775,1438,1557,1536,1753,1691,2298,1972,3610,4723,6281,5196,3123,3986,7071
Lake View,6,2010-2014,52225,3709,1675,1510,1579,1722,1288,1844,2231,1909,3562,4837,6421,5575,3278,3934,7151
Lake View,6,2011-2015,52403,3455,1650,1516,1533,1616,1464,1805,2254,1644,3614,5173,6438,5634,3360,3888,7359
Lincoln Park,7,1970,29077,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Lincoln Park,7,1980,31781,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Lincoln Park,7,1990,34740,3982,1537,2026,2249,2522,2220,2303,1996,1610,2611,2944,2742,1921,1208,2869,#N/A
Lincoln Park,7,2000,35705,2718,1147,1115,1025,1117,1582,1459,1482,1308,2815,3346,4048,3050,2046,2558,4889
Lincoln Park,7,2008-2012,32194,2784,1137,949,984,513,1033,817,935,771,1737,2420,3816,3098,2159,2958,6083
Lincoln Park,7,2009-2013,32312,2694,1255,986,880,541,1127,744,990,800,1669,2736,3501,3235,2154,3106,5894
Lincoln Park,7,2010-2014,32271,2654,1267,888,778,545,999,742,1016,749,1726,2685,3653,3218,2020,3258,6073
Lincoln Park,7,2011-2015,32438,2400,1215,904,660,461,927,633,1004,642,1831,2669,3763,3285,2346,3356,6342
Near North Side,8,1970,33106,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Near North Side,8,1980,36488,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Near North Side,8,1990,37379,5941,1913,1866,2443,2399,2443,2091,1924,1600,2709,2601,2999,1770,941,3739,#N/A
Near North Side,8,2000,45547,4989,2043,1740,1538,1704,2018,2043,2093,1768,3512,4367,4591,3209,2202,2695,5035
Near North Side,8,2008-2012,50758,5292,1563,1390,1138,1304,1308,1158,1470,1170,3584,4579,6167,5186,2209,4386,8854
Near North Side,8,2009-2013,52539,5311,1680,1639,1478,1203,1543,1175,1446,1256,3472,4486,6117,5316,2528,4455,9434
Near North Side,8,2010-2014,52964,5273,1675,1447,1428,1126,1644,1374,1394,1109,3155,4649,6399,5226,2835,4807,9423
Near North Side,8,2011-2015,53764,5054,1686,1503,1523,1085,1750,1150,1324,1095,3294,4697,6819,5192,2782,4798,10012
Edison Park,9,1970,4340,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Edison Park,9,1980,4715,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Edison Park,9,1990,4713,349,272,359,309,283,267,437,337,319,651,622,343,90,59,16,#N/A
Edison Park,9,2000,4766,152,136,205,262,195,264,249,292,261,492,674,681,428,197,128,150
Edison Park,9,2008-2012,4608,116,111,85,269,154,139,133,144,118,383,360,887,603,297,434,375
Edison Park,9,2009-2013,4597,159,92,110,218,184,214,172,168,142,305,364,817,564,305,457,326
Edison Park,9,2010-2014,4491,96,91,116,194,99,268,223,144,118,304,422,754,511,290,481,380
Edison Park,9,2011-2015,4503,84,77,106,102,110,251,206,183,134,286,379,743,451,296,567,528
Norwood Park,10,1970,13475,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Norwood Park,10,1980,14995,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Norwood Park,10,1990,15184,1083,1275,1125,945,1023,1104,1203,1163,1009,1665,1526,1256,504,160,143,#N/A
Norwood Park,10,2000,15376,862,644,875,900,729,672,792,911,755,1430,1904,2237,1388,579,436,262
Norwood Park,10,2008-2012,14646,565,468,645,623,659,659,685,712,320,1119,1407,2387,1621,903,1199,674
Norwood Park,10,2009-2013,14356,648,452,667,648,591,553,713,744,395,1048,1211,2435,1420,1008,1037,786
Norwood Park,10,2010-2014,14332,729,455,760,572,575,393,747,528,419,1010,1313,2296,1534,1068,1040,893
Norwood Park,10,2011-2015,14245,836,466,645,462,501,391,626,609,423,1112,1395,1971,1768,1021,1041,978
Jefferson Park,11,1970,9752,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Jefferson Park,11,1980,9914,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Jefferson Park,11,1990,9934,1010,776,777,732,761,848,647,731,685,1003,1101,576,198,42,47,#N/A
Jefferson Park,11,2000,10492,607,501,593,696,490,598,680,551,567,934,1382,1328,810,292,322,141
Jefferson Park,11,2008-2012,9943,533,491,494,588,487,613,429,275,378,728,1105,1307,941,547,656,371
Jefferson Park,11,2009-2013,9909,489,527,528,512,459,635,410,428,312,629,928,1263,1073,654,707,355
Jefferson Park,11,2010-2014,10115,529,539,559,498,411,662,352,401,325,629,945,1414,922,735,707,487
Jefferson Park,11,2011-2015,10255,615,480,584,515,437,596,398,445,315,713,938,1285,982,603,771,578
Forest Glen,12,1970,6675,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Forest Glen,12,1980,6803,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Forest Glen,12,1990,6858,308,300,343,376,399,387,401,421,395,717,803,903,499,260,346,#N/A
Forest Glen,12,2000,6966,209,279,164,273,319,311,288,312,270,527,873,944,762,467,562,406
Forest Glen,12,2008-2012,6793,320,275,165,206,338,165,210,168,144,307,629,737,596,769,735,1029
Forest Glen,12,2009-2013,6736,278,261,103,244,268,176,244,209,135,279,616,800,692,688,724,1019
Forest Glen,12,2010-2014,6673,292,140,131,174,332,180,206,243,176,264,641,703,716,676,704,1095
Forest Glen,12,2011-2015,6656,263,172,103,195,211,167,241,192,159,306,576,693,801,623,782,1172
North Park,13,1970,5314,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
North Park,13,1980,5399,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
North Park,13,1990,5767,805,392,391,494,336,466,417,332,385,595,459,402,97,100,96,#N/A
North Park,13,2000,6515,685,385,273,396,281,319,347,286,334,636,753,838,414,198,193,177
North Park,13,2008-2012,6436,529,454,469,405,224,234,263,228,168,576,514,838,523,297,337,377
North Park,13,2009-2013,6443,510,334,535,302,151,281,279,177,217,498,572,955,524,347,448,313
North Park,13,2010-2014,6476,598,292,506,392,246,333,256,167,326,471,506,895,463,280,470,275
North Park,13,2011-2015,6530,546,246,490,439,278,343,250,258,335,440,531,847,429,345,476,277
Albany Park,14,1970,16617,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Albany Park,14,1980,16272,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Albany Park,14,1990,15744,2276,1596,1628,1693,1383,1214,1189,986,802,1202,969,562,193,15,36,#N/A
Albany Park,14,2000,17090,1766,1131,1176,983,1139,1138,1050,1027,1005,1708,1818,1602,688,377,199,283
Albany Park,14,2008-2012,16804,1271,1134,1198,1178,990,622,679,840,855,1297,1669,2003,1151,597,705,615
Albany Park,14,2009-2013,16609,1274,1006,1058,1029,968,760,678,734,786,1349,1683,2036,1266,473,736,773
Albany Park,14,2010-2014,16426,1194,877,806,1141,947,706,724,627,772,1383,1804,1908,1261,686,815,775
Albany Park,14,2011-2015,16473,1192,780,872,1149,1093,763,813,565,763,1252,1804,1912,1170,766,869,710
Portage Park,15,1970,22603,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Portage Park,15,1980,22760,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Portage Park,15,1990,22683,2408,1945,2067,2135,1891,1629,1822,1867,1320,2185,1722,1171,337,66,118,#N/A
Portage Park,15,2000,23731,1569,1301,1456,1266,1719,1647,1447,1430,1174,2364,2829,3012,1374,548,356,239
Portage Park,15,2008-2012,22505,1424,936,1160,1211,1157,1355,1188,1197,967,1706,2767,3076,2023,887,1038,413
Portage Park,15,2009-2013,22493,1453,964,1084,1207,1193,1537,1105,1063,1037,1694,2664,3006,2102,952,986,446
Portage Park,15,2010-2014,22489,1573,971,1107,1252,1000,1395,911,1020,998,1950,2633,3106,2068,940,1094,471
Portage Park,15,2011-2015,22592,1400,994,1082,1246,936,1350,993,1014,861,2019,2588,2890,2121,1033,1440,625
Irving Park,16,1970,20741,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Irving Park,16,1980,20489,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Irving Park,16,1990,19554,2510,1774,2122,1834,1943,1871,1523,1216,1090,1313,1196,731,247,67,117,#N/A
Irving Park,16,2000,20900,1500,1092,1179,1437,1666,1594,1358,1423,1179,2161,2374,1847,1057,551,218,264
Irving Park,16,2008-2012,20177,1077,1081,1072,1007,1456,1307,821,1069,1042,1355,1950,2602,1442,799,939,1158
Irving Park,16,2009-2013,20302,1233,1113,1070,1085,1327,1478,935,1154,1228,1303,1714,2319,1464,787,871,1221
Irving Park,16,2010-2014,20313,1301,917,1015,1168,1202,1220,1289,1113,1207,1531,1693,2470,1463,975,878,871
Irving Park,16,2011-2015,20300,1183,702,995,1151,1178,1365,1199,953,1053,1858,1736,2388,1643,1064,1004,828
Dunning,17,1970,13985,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Dunning,17,1980,13879,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Dunning,17,1990,14074,1475,1131,949,1166,976,1197,1209,971,888,1572,1269,923,224,69,55,#N/A
Dunning,17,2000,15561,837,715,837,910,759,950,896,1065,917,1688,1964,2170,1047,399,273,134
Dunning,17,2008-2012,15141,910,704,714,760,538,645,661,718,639,1104,1848,2410,1644,843,651,352
Dunning,17,2009-2013,15172,884,653,746,798,630,695,662,739,627,1106,1865,2373,1661,836,552,345
Dunning,17,2010-2014,15301,815,625,746,812,601,864,597,850,545,1055,1783,2318,1705,976,641,368
Dunning,17,2011-2015,15432,886,563,740,783,802,780,674,859,554,1104,1646,2427,1570,909,756,379
Montclare,18,1970,4070,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Montclare,18,1980,4103,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Montclare,18,1990,4044,404,337,333,312,364,402,289,346,249,365,337,236,48,16,6,#N/A
Montclare,18,2000,4125,197,240,214,277,250,279,318,200,248,441,366,561,386,75,65,8
Montclare,18,2008-2012,4425,437,168,343,238,350,227,308,236,98,440,381,483,354,164,83,115
Montclare,18,2009-2013,4350,364,207,301,218,405,283,236,220,138,457,342,488,351,139,106,95
Montclare,18,2010-2014,4403,445,232,227,172,457,262,322,279,154,457,188,546,354,135,67,106
Montclare,18,2011-2015,4397,474,178,212,180,447,269,284,265,141,430,166,561,427,178,33,152
Belmont Cragin,19,1970,20720,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Belmont Cragin,19,1980,21294,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Belmont Cragin,19,1990,20157,2637,1820,1868,1975,1810,1812,1797,1523,1082,1611,1218,619,209,93,83,#N/A
Belmont Cragin,19,2000,21916,1685,1184,1156,1222,1589,1548,1581,1503,1294,2604,2458,2221,873,438,351,209
Belmont Cragin,19,2008-2012,21570,1453,1336,1540,1440,1519,1401,1480,1326,1077,2198,2123,2196,1330,644,433,74
Belmont Cragin,19,2009-2013,21511,1245,1388,1337,1539,1550,1490,1567,1276,1051,2070,2210,2048,1499,675,512,54
Belmont Cragin,19,2010-2014,21506,1166,1414,1357,1603,1513,1466,1427,1246,959,2248,2210,2069,1459,678,585,106
Belmont Cragin,19,2011-2015,21754,1201,1556,1228,1617,1455,1466,1387,1361,900,2242,2251,2114,1460,806,548,162
Hermosa,20,1970,7090,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Hermosa,20,1980,7089,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Hermosa,20,1990,6724,1176,585,607,785,567,491,622,458,299,546,341,115,97,21,14,#N/A
Hermosa,20,2000,7202,823,469,543,585,460,351,557,494,433,673,772,605,229,92,47,69
Hermosa,20,2008-2012,7070,501,388,509,418,592,528,512,362,325,722,852,731,259,194,161,16
Hermosa,20,2009-2013,6948,531,350,567,491,600,581,509,318,274,572,821,637,306,203,171,17
Hermosa,20,2010-2014,6923,564,424,576,490,589,586,466,329,256,499,776,676,327,196,124,45
Hermosa,20,2011-2015,7099,520,438,623,436,576,530,513,313,337,573,682,756,335,245,154,68
Avondale,21,1970,13318,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Avondale,21,1980,13160,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Avondale,21,1990,12726,2190,1319,1256,1169,1218,1070,984,736,657,975,656,318,101,24,53,#N/A
Avondale,21,2000,13738,1403,1037,871,1047,1073,1065,1014,832,790,1304,1340,1141,364,181,119,157
Avondale,21,2008-2012,13801,980,761,645,893,750,941,801,870,959,1323,1569,1270,850,637,338,214
Avondale,21,2009-2013,13707,1045,787,686,792,900,985,801,907,950,1205,1337,1309,730,544,403,326
Avondale,21,2010-2014,13560,1007,714,786,898,991,920,780,769,790,1207,1395,1336,607,587,465,308
Avondale,21,2011-2015,13564,934,799,750,931,1070,843,804,698,824,1117,1455,1374,597,597,449,322
Logan Square,22,1970,30496,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Logan Square,22,1980,29317,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Logan Square,22,1990,26196,5919,2813,2747,2883,2407,2026,1557,1363,1105,1236,1110,604,263,103,60,#N/A
Logan Square,22,2000,28855,3467,2035,2011,2264,1879,2265,1844,1679,1487,2216,2690,2290,1135,605,449,539
Logan Square,22,2008-2012,29492,1965,1824,1282,1539,1769,1543,1367,1577,1133,2474,2613,3012,2403,1491,1852,1648
Logan Square,22,2009-2013,29533,2072,1857,1378,1792,1579,1435,1212,1364,1163,2242,2824,3146,2192,1350,2063,1864
Logan Square,22,2010-2014,29237,2083,1629,1262,1746,1414,1446,1172,1320,1036,2321,2934,3095,2273,1519,2091,1896
Logan Square,22,2011-2015,29195,1939,1617,1077,1741,1401,1412,1092,1187,955,2195,2875,3323,2386,1785,2142,2068
Humboldt Park,23,1970,21998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Humboldt Park,23,1980,21230,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Humboldt Park,23,1990,18271,5190,2008,1923,1817,1389,1417,958,1040,511,830,711,357,49,30,41,#N/A
Humboldt Park,23,2000,17855,3294,1657,1440,1537,1290,1343,1192,1283,602,1428,1145,889,403,111,112,129
Humboldt Park,23,2008-2012,16778,3378,1265,1492,1128,1178,937,857,824,644,1172,1507,1286,426,292,259,133
Humboldt Park,23,2009-2013,16304,2969,1263,1375,1167,1260,1017,770,916,663,1150,1264,1375,525,196,240,154
Humboldt Park,23,2010-2014,16434,2778,1293,1302,1165,1125,1115,887,789,612,1111,1525,1518,618,179,255,162
Humboldt Park,23,2011-2015,16519,2975,1140,1306,1240,1079,1253,881,772,486,1028,1295,1668,675,231,315,175
West Town,24,1970,39240,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
West Town,24,1980,32233,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
West Town,24,1990,28767,8361,3291,3144,2926,2345,2103,1437,1154,830,1299,964,570,185,46,112,#N/A
West Town,24,2000,35316,4948,2490,2370,2043,2240,1932,2036,1799,1649,2832,3234,3062,1894,963,965,859
West Town,24,2008-2012,37287,2780,1493,1515,1786,1152,1273,1231,1528,1298,2612,3546,4521,3373,2594,3027,3558
West Town,24,2009-2013,36946,2578,1353,1562,1964,1228,1208,1056,1652,1295,2691,3228,4492,3511,2357,3003,3768
West Town,24,2010-2014,36779,2406,1405,1437,1734,1216,1216,961,1638,1219,2706,3464,4318,3517,2363,3065,4114
West Town,24,2011-2015,37294,2420,1469,1161,1663,1165,1075,930,1692,1276,2391,3424,4523,3784,2397,3335,4589
Austin,25,1970,42916,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Austin,25,1980,41350,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Austin,25,1990,33862,8311,2736,3027,2915,2588,2646,2401,1919,1587,2302,1930,1170,200,44,86,#N/A
Austin,25,2000,35195,6432,2371,2429,2331,2598,1897,2123,1956,1519,3043,3160,2725,1384,508,412,307
